201230740801,赵一,68
201230740802,钱二,82
201230740803,孙三,58
201230740804,李四,62
201230740805,冯五,73
201230740806,陈六,92
201230740807,韩七,91
201230740808,刘华,75
201230740809,黄斌,61
201230740810,赵森,82
201230740811,李建,85
201230740812,王文林,84
201230740813,郭德纲,74
201230740814,李伟,92
201230740815,蒋家伟,60
201230740816,李好,99
201230740817,李杰,71
201230740818,吕天,62
201230740819,刘涛,61
201230740820,李明,60
201230740821,王学兵,56
201230740822,张学德,76
201230740823,徐向东,62
201230740824,王礼,81
201230740825,李珊珊,70
201230740826,郝仁,80
201230740827,孔卡,52
201230740828,穆里奇,72
201230740829,刘大宝,78
201230740830,康文顺,87


